FileName;UniqueId;On;Battery;SunriseOffset;SunsetOffset;Dark;Daylight;Pressure;Humidity;Temperature;LastUpdated;Status;Sunrise;Sunset;Etag;Manufacturername;Modelid;Name;SwVersion;Type
sensorfetch_202401050100.json;00:15:8d:00:05:6b:fa:d2-01-0403;True;100;0;0;False;False;1004;0;0;2024-01-05T00:29:19.201;0;;;b846354afc691a5b4b8b656e568a7ecb;LUMI;lumi.weather;Office 1;20191205;ZHAPressure
sensorfetch_202401050100.json;00:15:8d:00:05:88:eb:01-01-0402;True;38;0;0;False;False;0;0;-28;2023-12-23T19:21:33.264;0;;;abad90f14a48a6459d3dcd35a98d2074;LUMI;lumi.weather;Attic;20191205;ZHATemperature
sensorfetch_202401050100.json;00:15:8d:00:05:88:eb:01-01-0405;True;38;0;0;False;False;0;7806;0;2023-12-24T16:38:25.905;0;;;abad90f14a48a6459d3dcd35a98d2074;LUMI;lumi.weather;Attic;20191205;ZHAHumidity
sensorfetch_202401050100.json;00:15:8d:00:05:88:eb:01-01-0403;True;38;0;0;False;False;991;0;0;2023-12-23T19:21:33.279;0;;;abad90f14a48a6459d3dcd35a98d2074;LUMI;lumi.weather;Attic;20191205;ZHAPressure
sensorfetch_202401050100.json;00:15:8d:00:05:8a:5f:91-01-0402;True;100;0;0;False;False;0;0;772;2024-01-05T00:29:47.510;0;;;07cebbfaf611574f9ef9dc9b2838c3af;LUMI;lumi.weather;Shed;20191205;ZHATemperature
sensorfetch_202401050100.json;00:15:8d:00:05:8a:5f:91-01-0405;True;100;0;0;False;False;0;5879;0;2024-01-05T00:29:47.520;0;;;07cebbfaf611574f9ef9dc9b2838c3af;LUMI;lumi.weather;Shed;20191205;ZHAHumidity
sensorfetch_202401050100.json;00:15:8d:00:05:8a:5f:91-01-0403;True;100;0;0;False;False;1016;0;0;2024-01-05T00:29:47.525;0;;;07cebbfaf611574f9ef9dc9b2838c3af;LUMI;lumi.weather;Shed;20191205;ZHAPressure
sensorfetch_202401050100.json;00:15:8d:00:05:8c:a3:d4-01-0402;True;91;0;0;False;False;0;0;2207;2024-01-05T00:42:46.905;0;;;24e0c5fa403909644e49c6c329c1757f;LUMI;lumi.weather;Kitchen;20191205;ZHATemperature
sensorfetch_202401050100.json;00:15:8d:00:05:8c:a3:d4-01-0405;True;91;0;0;False;False;0;3347;0;2024-01-05T00:42:46.915;0;;;24e0c5fa403909644e49c6c329c1757f;LUMI;lumi.weather;Kitchen;20191205;ZHAHumidity
sensorfetch_202401050100.json;00:15:8d:00:05:8c:a3:d4-01-0403;True;91;0;0;False;False;1015;0;0;2024-01-05T00:42:46.920;0;;;24e0c5fa403909644e49c6c329c1757f;LUMI;lumi.weather;Kitchen;20191205;ZHAPressure
sensorfetch_202401050100.json;00:15:8d:00:05:44:ee:4c-01-0402;True;91;0;0;False;False;0;0;1458;2024-01-05T00:33:08.337;0;;;d1f47676e9d1fd18133e26f1f377645f;LUMI;lumi.weather;Bedroom 2;20191205;ZHATemperature
sensorfetch_202401050100.json;00:15:8d:00:05:44:ee:4c-01-0405;True;91;0;0;False;False;0;3882;0;2024-01-05T00:33:08.347;0;;;d1f47676e9d1fd18133e26f1f377645f;LUMI;lumi.weather;Bedroom 2;20191205;ZHAHumidity
sensorfetch_202401050100.json;00:15:8d:00:05:44:ee:4c-01-0403;True;91;0;0;False;False;1010;0;0;2024-01-05T00:33:08.353;0;;;d1f47676e9d1fd18133e26f1f377645f;LUMI;lumi.weather;Bedroom 2;20191205;ZHAPressure
sensorfetch_202401050100.json;00:15:8d:00:05:4b:34:c0-01-0402;True;100;0;0;False;False;0;0;2006;2024-01-05T00:32:56.411;0;;;43f4f612b7ed3fa3e194a49a33899ce6;LUMI;lumi.weather;Hallway 2nd Floor;20191205;ZHATemperature
sensorfetch_202401050100.json;00:15:8d:00:05:4b:34:c0-01-0405;True;100;0;0;False;False;0;3550;0;2024-01-05T00:32:56.422;0;;;43f4f612b7ed3fa3e194a49a33899ce6;LUMI;lumi.weather;Hallway 2nd Floor;20191205;ZHAHumidity
sensorfetch_202401050100.json;00:15:8d:00:05:4b:34:c0-01-0403;True;100;0;0;False;False;1022;0;0;2024-01-05T00:32:56.427;0;;;43f4f612b7ed3fa3e194a49a33899ce6;LUMI;lumi.weather;Hallway 2nd Floor;20191205;ZHAPressure
sensorfetch_202401050100.json;00:15:8d:00:05:6b:fa:d2-01-0402;True;100;0;0;False;False;0;0;2095;2024-01-05T00:29:19.201;0;;;b846354afc691a5b4b8b656e568a7ecb;LUMI;lumi.weather;Office 1;20191205;ZHATemperature
sensorfetch_202401050100.json;00:15:8d:00:05:6b:fa:d2-01-0405;True;100;0;0;False;False;0;3359;0;2024-01-05T00:29:19.201;0;;;b846354afc691a5b4b8b656e568a7ecb;LUMI;lumi.weather;Office 1;20191205;ZHAHumidity
sensorfetch_202401050200.json;00:21:2e:ff:ff:05:e2:d6-01;True;0;30;-30;True;False;0;0;0;2024-01-04T23:15:26.689;100;2024-01-05T07:40:45;2024-01-05T14:50:02;b56f5332a6a367b62ce0705618c373e8;Philips;PHDL00;Daylight;1.0;Daylight
